summary,ours
Viral meme on cancer and acidity connection gets a lot wrong | PolitiFact Facebook fact-checks,0
"Undocumented immigrants aren’t free to leave detention centers at any time, but they can request it | PolitiFact Facebook fact-checks",0
Donald Trump claimed Twitter has made it harder for people to follow him. That’s false,0
resident Trump correct about food stamp low,0
San Francisco isn’t spending $72.5 million to clean up ‘human waste and drug paraphernalia’ | PolitiFact Facebook fact-checks,0
"No, Obama didn’t give the Presidential Medal of Freedom to Cosby, Weiner and Weinstein | PolitiFact Facebook fact-checks",0
Donald Trump twists Ilhan Omar’s comments about al-Qaid,0
Trump claims he won Wisconsin early in the evening in 2016. Not so much. | PolitiFact Wisconsin,0
Limbaugh wrongly blames Obama for no census citizenship question | Pund,0
No evidence George Washington said it’s ‘impossible to rightly govern without God and the Bible’ | PolitiFact Facebook fact-checks,0
Did study show that 70% of veterans who committed suicide had THC in their system? | PolitiFact Texas,0
Bernie Sanders said a huge percentage of Walmart workers are black. He was off by,0
"-checking an attack on Joe Biden about immigration deportation, detention votes",0
When did it become a crime to cross the U.S.-Mexico border? | PolitiFact Texas,0
Are federal policies to blame for drop in student milk consumption? | PolitiFact Wisconsin,0
-checking claim about number of immigrants becoming citizens under Trump,0
Rick Scott overshoots on how much more insulin costs in the US than in Canada | PolitiFact Florid,0
Ocasio-Cortez didn’t say she speaks with herself because she has 'a very good brain.' That was Trump | PolitiFact Facebook fact-checks,0
Headline about white man asking his black friend to impregnate his wife is from a satirical website | PolitiFact Facebook fact-checks,0
"No, Michael Kors didn’t say he’s tired of pretending to like black people | PolitiFact Facebook fact-checks",0
"No, the 'establishment media' didn't ignore President Trump's Fourth of July celebration | PolitiFact Facebook fact-checks",0
"More arrests in the US for marijuana possession than violent crimes, 2020 hopeful Cory Booker says",0
Biden’s claim that ACA was a ‘breakthrough’ for mental health parity highlights gaps | PolitiFact Health Check,0
"In viral moment, Pete Buttigieg fumbles line on racial disparities in criminal justice",0
This image of Donald Trump and Jeffrey Epstein is doctored | PolitiFact Facebook fact-checks,0
A meme about migrant cell phone use at the U.S. border takes an AP photo out of context | PolitiFact Facebook fact-checks,0
Are immigrant children free to leave shelters ‘at anytime’? Half True | PolitiFact Texas,0
No evidence Nevada Gaming Commission said Donald Trump wasn’t trustworthy enough for gaming license | PolitiFact Facebook fact-checks,0
"No, states haven't legislated marijuana users lose their guns | PolitiFact Facebook fact-checks",0
"No, Joel Osteen Ministries doesn’t charge people money for prayer requests | PolitiFact Facebook fact-checks",0
"Donald Trump exaggerates turnaround on US car plants, ignores closures",0
"Joe Biden says he will champion a ban on assault weapons, not all guns",0
sts saying Trump's July 4 event drew small crowd are wrong | PolitiFact Facebook fact-checks,0
nagan criticizes Senate Democrats on taxes | PolitiFact New York,0
Austin homeless policy doesn't allow camping on private property | PolitiFact Texas,0
Bernie Sanders has a confounding record on gun control. But he was mostly right on debate night. | PolitiFact Vermon,0
Did taxation really cause the American Revolution? | PolitiFact North Carolin,0
"No, migrants aren’t being quarantined with an unknown disease at the U.S.-Mexico border | PolitiFact Facebook fact-checks",0
Did Eisenhower say a military parade would make U.S. look weak? Not in so many words | PolitiFact Facebook fact-checks,0
Tulsi Gabbard exaggerates in saying a kid hacked into a replica of Florida's election system,0
Bernie Sanders on target saying 3 richest have as much wealth as bottom half of all Americans,0
Was Kamala Harris ‘part of second class to integrate’ Berkeley's public schools? | PolitiFact Californ,0
CNN panelist misses the mark on GOP support of Medicare for All | Pund,0
"No, Facebook isn’t censoring 'pro-Trump posts' by removing the share button | PolitiFact Facebook fact-checks",0
Cory Booker and drug maker campaign cash: By the numbers,0
Trump’s claim Obama begged to meet with North Korea’s Kim Jong Un is unproven,0
"Sorry, Six Flags isn’t offering five free passes and unlimited rides to everyone | PolitiFact Facebook fact-checks",0
Beto O’Rourke’s warning about undercount with census citizenship question missing key details | PolitiFact Texas,0
Warren correct: Inmate phone calls can cost $25 for 15 minutes,0
"Seeking reparations, Ta-Nehisi Coates says typical blacks have one-tenth the wealth of whites | Pund",0
"No, voucher schools haven't raised property taxes by $1B since 2011 | PolitiFact Wisconsin",0
Chicago police union president's attack on consent decrees falls short | PolitiFact Illinois,0
Michael Kearns' claim about undocumented drivers getting special privileges is wrong | PolitiFact New York,0
ACT CHECK: Did Kamala Harris really disagree with Obama’s deportation policy? | PolitiFact Californ,0
Joe Biden oversimplifies his school busing record in Miami debate,0
"No, the first slaves shipped to the American colonies weren’t white Irish children | PolitiFact Facebook fact-checks",0
No evidence Robert De Niro made this statement comparing Trump to a village idiot | PolitiFact Facebook fact-checks,0
"No, Rudy Giuliani didn’t file for Nancy Pelosi’s impeachment | PolitiFact Facebook fact-checks",0
"No, Benjamin Franklin did not say ‘We are all born ignorant but one must work hard to remain stupid’ | PolitiFact Facebook fact-checks",0
Would out-of-state drivers really pay $73 million under Evers' gas tax plan? | PolitiFact Wisconsin,0
"The Democratic debate stage was decorated with stars, stripes, and lots of red, white and blue | PolitiFact Facebook fact-checks",0
"This photo shows a Toronto Raptors celebration after the Raptors win, not a Trump rally | PolitiFact Facebook fact-checks",0
GOP leader wrong about NC abortion law ruling | PolitiFact North Carolin,0
"Universal health care for New Yorkers? Not exactly, Bill de Blasio | PolitiFact Health Check",0
"Former Rep. John Delaney claimed during the Democratic debate in Detroit that if every hospital in the country had to be paid at the Medicare rate, they would all close. Delaney's claim is not supported by strong evidence and experts argue that the impact of Medicare for All on hospitals would be more nuanced. While some hospitals may face financial challenges, others may see their revenues increase. Additionally, Delaney oversimplifies the situation by suggesting that hospitals would be paid at the current Medicare rates, when in reality, the government would set a lower price than what private plans currently pay. Overall, Delaney's claim lacks accuracy and evidence, and is rated as false.",1
-checking Ted Cruz on apprehensions at the U.S.-Mexico border | PolitiFact Texas,0
Sanders’ latest claim about college costs only applies to public universities | PolitiFact Vermon,0
"Henry Kissinger never said ‘once the herd accepts mandatory forcible vaccination, it’s game over’ | PolitiFact Facebook fact-checks",0
"No, police are not warning the public about gangs throwing eggs on windshields | PolitiFact Facebook fact-checks",0
Is Wisconsin a Top 10 state for health care coverage? | PolitiFact Wisconsin,0
"No, a Florida man didn’t admit to burying hundreds of bodies on his property | PolitiFact Facebook fact-checks",0
rida Democrats say Donald Trump denied overtime pay for millions. That needs context | PolitiFact Florid,0
x Business host wrongly claimed market crashed as 'instant reaction' to Obama’s 2008 election | Pund,0
McAuliffe falsely claims he inherited $2.4 billion debt left by GOP | PolitiFact Virgin,0
"During the Democratic debate in Detroit, Bernie Sanders claimed that 30,000 Americans die each year waiting for healthcare due to the cost. This statistic is based on a study called the Oregon Health Insurance Experiment, which found a 0.13 percentage point difference in the death rate between those with insurance and those without. However, experts argue that this difference is not statistically significant and cannot be applied broadly. While it is likely that cost barriers prevent many Americans from accessing healthcare, the specific math used to arrive at the 30,000 figure is questionable. Therefore, Sanders' claim is rated as half true.",1
ANTS ON FIRE: Trump’s latest California voter fraud claim as baseless as past allegations | PolitiFact Californ,0
"No, those posts about infected needles being hidden in gas pump handles are part of an old hoax | PolitiFact Facebook fact-checks",0
Donald Trump twists story on Central Park Five,0
Beto O’Rourke on target about scale of Democratic surge in Texas in 2018 | PolitiFact Texas,0
-checking Brady’s muddled attack on Pritzker’s tax plan | PolitiFact Illinois,0
Gillibrand claims legislative victories in Trump era | PolitiFact New York,0
"Donald Trump, again, falsely says Obama had family separation policy",0
"-checking Alexandria Ocasio-Cortez's comments on Amazon, “starvation wages” and food stamps",0
"-checking John Cornyn on drug trafficking, drug overdoses | PolitiFact Texas",0
"No, the only reason to oppose voter ID laws isn’t because 'you plan to cheat' | PolitiFact Facebook fact-checks",0
Universal health care diagnosis is on the mark | PolitiFact Wisconsin,0
"No, Clint Eastwood did not say he’s leaving Hollywood to fight against ‘traitors’ with ‘real America | PolitiFact Facebook fact-checks",0
"No, that Gene Hackman quote about Trump is misattributed and incomplete | PolitiFact Facebook fact-checks",0
Trump said 52% of women voted for him in 2016. That’s misleading. It refers only to white women,0
Seth Moulton partly right on Biden not admitting he was wrong on the Iraq War,0
"No, Queen Elizabeth II did not call Trump an ‘amazing person’ with a ‘good heart’ in an interview | PolitiFact Facebook fact-checks",0
"Joe Biden says there are tax breaks for racehorses, not child care. That’s misleading",0
"No, this bicycle in a tree is not a memorial to a fallen soldier | PolitiFact Facebook fact-checks",0
This popular quote is often attributed to Ayn Rand — but she didn’t say it | PolitiFact Facebook fact-checks,0
No evidence a retired U.S. Army sergeant murdered two Syrian refugees who raped his daughter | PolitiFact Facebook fact-checks,0
"No, FactCheck.org didn’t “bust” Snopes.com | PolitiFact Facebook fact-checks",0
"No evidence Obama said, “If we don’t do something about this president, I will” | PolitiFact Facebook fact-checks",0
"Do red-flag laws reduce gun suicides, as Creigh Deeds says? | PolitiFact Virgin",0
"No, typing the abbreviation ‘BFF’ will not let you know if your Facebook account is secure | PolitiFact Facebook fact-checks",0
Gavin Newsom makes False claim of raising LGBTQ Pride flag ‘for first time’ at California’s Capitol | PolitiFact Californ,0
No sources support John Wayne quote about the American flag | PolitiFact Facebook fact-checks,0
"No, Michael Bloomberg didn’t make this statement about Donald Trump | PolitiFact Facebook fact-checks",0
Updated: Sen. Johnson correct on southern border crossing claim | PolitiFact Wisconsin,0
"No, New Mexico does not give EBT cards to immigrants in U.S. illegally as they wait to see a judge | PolitiFact Facebook fact-checks",0
"No, the photo of a parade in England was not for Donald Trump – it was for Liverpool’s soccer team | PolitiFact Facebook fact-checks",0
Durkin off-base in claim about Illinois infrastructure woes | PolitiFact Illinois,0
heck: Bishop says dark money helped McCready | PolitiFact North Carolin,0
Joe Biden says China's thefts of U.S. technology have increased on Donald Trump's watch,0
UW System president hits pay dirt with university pay gap claim | PolitiFact Wisconsin,0
"No, Charlie Daniels never said ‘voting for Trump is like playing country music backwards.’ | PolitiFact Facebook fact-checks",0
Amy Klobuchar right about state psychiatric bed shortages,0
"No, Nixon was never officially impeached. He resigned first | Pund",0
"Tab for federal benefits for the dead: $1 billion, Florida Congressman says | PolitiFact Florid",0
Are migrants with diseases like Ebola being dumped in San Antonio? No | PolitiFact Facebook fact-checks,0
Zuckerberg video about 'billions of people's stolen data' is a deepfake | PolitiFact Facebook fact-checks,0
"No, photo of woman being ‘beaten and arrested’ by police was not Susan B. Anthony | PolitiFact Facebook fact-checks",0
"Rep. Ilhan Omar's claim is high: There aren't 500 gun deaths per day in the US, it's closer to 100",0
"Has vaping 'wiped out' progress on reducing youth smoking, as Tim Kaine says? | PolitiFact Virgin",0
"Did people lie about the maternal mortality rate in Texas, as Abbott said? | PolitiFact Texas",0
State lawmaker goes too far out to pasture with large-scale farm manure claim | PolitiFact Wisconsin,0
Bernie Sanders oversimplifies record on Hyde Amendmen,0
De Blasio claims city helped people out of poverty | PolitiFact New York,0
"No, illegal immigrants and refugees are not causing six eradicated diseases to come back | PolitiFact Facebook fact-checks",0
How long has O'Rourke said 'it's time for Congress to act' on impeachment? | PolitiFact Texas,0
"No, multiple presidents have missed the Veterans Day wreath-laying ceremony – not just Trump | PolitiFact Facebook fact-checks",0
Kamala Harris claims Trump’s tariffs cost $1.4 billion per month. That’s Mostly True | PolitiFact Californ,0
Lightfoot spreads rumor that Chicago police union told cops not to police | PolitiFact Illinois,0
"No, early suffragettes didn’t eat pizza in bathing suits to annoy men | PolitiFact Facebook fact-checks",0
"No, liquid soap is not an effective way to remove ticks. Use tweezers instead, experts say | PolitiFact Facebook fact-checks",0
"No, Kanye didn’t dunk on children in wheelchairs | PolitiFact Facebook fact-checks",0
This photo shows Red Cross women arriving in France — but not on D-Day | PolitiFact Facebook fact-checks,0
"Seth Moulton correct that prescription drug prices can be negotiated for VA, but not Medicare",0
Tulsi Gabbard is right: Citizenship denials are higher for military applicants compared to civilians,0
"Republicans support Donald Trump, but not as much as he said",0
"No, typing '@[4:0]' won’t let you see if your Facebook account has been hacked | PolitiFact Facebook fact-checks",0
"Media wasn't silent, as post claims, about Colorado school shooting suspects | PolitiFact Facebook fact-checks",0
Kirsten Gillibrand wrong about Donald Trump and bump stocks,0
"No, Thomas Jefferson did not say big government is ‘strong enough to take everything you have’ | PolitiFact Facebook fact-checks",0
Michael Bennet is right that a majority say the effects of global warming are happening,0
"Taylor Swift says most Democrats, independents, Republicans back nondiscrimination for LGBTQ people",0
"No, more people will not enter the United States illegally than be born here in a year | PolitiFact Texas",0
No evidence that Einstein said evil results from a lack of God’s love | PolitiFact Facebook fact-checks,0
"No, the lines around the original Solo cup were not created to represent various measurements | PolitiFact Facebook fact-checks",0
Kirsten Gillibrand did not say undocumented immigrants should get Social Security benefits for free | PolitiFact Facebook fact-checks,0
Biden highlights the nation’s lack of school psychologists | PolitiFact Health Check,0
Garland Tucker mostly wrong about Tillis supporting 'amnesty' | PolitiFact North Carolin,0
Donald Trump said the UK is America’s largest trading partner. It ranks 5th,0
Wisconsin State Rep. Chris Taylor on the mark with prison claim | PolitiFact Wisconsin,0
Is Donald Trump the most transparent president ever? N,0
"Barack Obama wrong on limits of US gun laws, machine gun sales",0
Northam wrongly says report confirms he wasn't in racist photo | PolitiFact Virgin,0
Kevin McCarthy falsely says Justin Amash votes more often with Nancy Pelosi than him,0
"No, California won’t teach all kindergarteners that there are 15 genders | PolitiFact Facebook fact-checks",0
There's no evidence Chris Jacobs is a 'Never Trumper' | PolitiFact New York,0
"No, undocumented immigrants aren’t impacting the waitlist for public housing in Houston | PolitiFact Texas",0
-check: Joe Biden’s defense of his 1994 crime bill and mass incarceration,0
n says Trump tweet “directly contradicted” Mueller comments | PolitiFact Wisconsin,0
-checking presidential hopeful John Hickenlooper on beating NRA with 'tough' Colorado gun laws,0
"No, Trump did not say that suicide bombers deserve the death penalty | PolitiFact Facebook fact-checks",0
D.A.R.E. still thinks marijuana is a dangerous drug for kids | PolitiFact Facebook fact-checks,0
Viral Wisconsin welcome sign image warning visitors of its gun-carrying residents is photoshopped | PolitiFact Facebook fact-checks,0
"No, graduated tax rates did not drive wealthy from New York | PolitiFact Illinois",0
"Sorry Tim Kaine, there are no tobacco frescoes on the state capitol's ceilings | PolitiFact Virgin",0
No source for supposed Pelosi statement about undocumented immigrants | PolitiFact Facebook fact-checks,0
What counts as a high crime or misdemeanor for impeachment? Justin Amash got it righ,0
Would Vermont's toxic exposure testing bill make it an outlier? | PolitiFact Vermon,0
"No, Mark Twain never said to fear the media, but he wasn’t a fan of the press | PolitiFact Facebook fact-checks",0
How much has local government debt increased in Texas? | PolitiFact Texas,0
Viral video of Nancy Pelosi slowed down her speech,0
"Donald Trump's international comparison of 'merit-based' immigration, fact-checked",0
"Viral photo of two armed men guarding a high school was taken for a yearbook, not a school shooting | PolitiFact Facebook fact-checks",0
"No, North Carolina did not ban Sharia law or make practicing it a criminal offense | PolitiFact Facebook fact-checks",0
"On Colbert, Kamala Harris flubs wage gap statistic | PolitiFact Californ",0
"In election security hearing, Marcia Fudge misleads about South Carolina, Ohio voting machines",0
This photo of Barack Obama bowing to the Ayatollah Khamenei is fake | PolitiFact Facebook fact-checks,0
"No, a Time magazine cover didn’t tell readers “how to survive the coming Ice Age” | PolitiFact Facebook fact-checks",0
Who has more lakes: Minnesota or Wisconsin? | PolitiFact Wisconsin,0
Did Kamala Harris flip-flop on independent probes of police shootings? | PolitiFact Californ,0
-checking Donald Trump's claim that drug prices are going down,0
Claims that Democrats didn’t attend a hearing about the border are wrong | PolitiFact Facebook fact-checks,0
"No, Pennsylvania special election winner was not in 50-50 race",0
"This is a photo of the Woodstock music festival, not a Trump rally | PolitiFact Facebook fact-checks",0
Allegations of racism against Trump didn't start when he challenged the Democrats | PolitiFact Facebook fact-checks,0
Gillibrand points to early support for Medicare for all | PolitiFact New York,0
Will Wisconsin taxpayers get 'tremendous' payback for money spent on new Fiserv Forum? | PolitiFact Wisconsin,0
Donald Trump wrong that Joe Biden abandoned Scranton,0
Trump says NY didn't fight SALT cap | PolitiFact New York,0
"No, NASA did not spend over $165 million on a space pen while Russians used pencils | PolitiFact Facebook fact-checks",0
-checking Steve Bullock on decline of the American Dream,0
Did the Affordable Care Act create preexisting condition protections for people in employer plans? | PolitiFact Health Check,0
"No, vanilla ice cream didn’t used to be black | PolitiFact Facebook fact-checks",0
hoto blaming environmentalists for trashing a park on Earth Day is really from a football tailgate | PolitiFact Facebook fact-checks,0
Levar Stoney mostly right about Richmond's rein on real estate tax rates | PolitiFact Virgin,0
"-checking Wayne Messam on Florida law, mayors discussing gun reform",0
"Yes, U.S. suicides have risen by 30% in past decade and a half",0
"Cory Booker points to Connecticut, where he says a tough gun law led to fewer deaths",0
ritzker’s latest sweeping tax claim falls flat | PolitiFact Illinois,0
Tumors on deer in viral photo were not caused by Monsanto’s Roundup | PolitiFact Facebook fact-checks,0
Del. Bob Thomas misstates provision in Virginia abortion bill | PolitiFact Virgin,0
"No, Netflix doesn’t have a show to “make little boys into ‘sexy’ little girls” | PolitiFact Facebook fact-checks",0
Are the vast majority of asylum claims without merit? | PolitiFact Texas,0
"Can cell phones, Bluetooth defeat credit card skimmers? | PolitiFact West Virgin",0
"Have 1M Wisconsinites ""voted to raise their own property taxes""? | PolitiFact Wisconsin",0
"-checking median pay for black, Hispanic, Native American women | PolitiFact West Virgin",0
About 40% of people living in poverty are non-Hispanic white | PolitiFact Facebook fact-checks,0
"No, that story about a Nebraska man being arrested after killing 30 pedophiles is fake | PolitiFact Facebook fact-checks",0
"No, Maxine Waters wasn’t indicted for steering TARP money to her husband’s private bank account | PolitiFact Facebook fact-checks",0
Trump’s talk on preexisting conditions doesn’t match his administration’s actions | PolitiFact Health Check,0
The problem with calling Venezuela's crisis under Maduro a genocide | PolitiFact Florid,0
NC Democrat says there's no wait for private school vouchers | PolitiFact North Carolin,0
Is suicide the second-leading cause of death among Missouri youth? | PolitiFact Missour,0
The Mooch misstates China’s WTO misbehavior | Pund,0
Social media post sharing newspaper story of Trump having a 73 IQ is fake | PolitiFact Facebook fact-checks,0
"No, the Talking Angela app isn’t secretly taking your child’s picture | PolitiFact Facebook fact-checks",0
Bernie Sanders: ‘Exploitative’ payday loans in Wisconsin average 574% annual rate | PolitiFact Wisconsin,0
Who pays for US tariffs on Chinese goods? You d,0
Beto O'Rourke says race is No.1 indicator for location of toxic facilities. Is it true? | PolitiFact Texas,0
Swalwell’s tweet about Georgia’s new abortion law is only slightly off-key | PolitiFact Health Check,0
Cassidy puffs up what stats say about teen marijuana use | PolitiFact Illinois,0
Is there a Dallas teacher making $90K in his third year? | PolitiFact Texas,0
Are 19% of West Virginians on food stamps? | PolitiFact West Virgin,0
"It's true, Texas has removed more Confederate monuments than other states | PolitiFact Texas",0
Have 20 million Americans gained health insurance from the ACA? | PolitiFact West Virgin,0
Does West Virginia rank in the top quarter of states for education spending? | PolitiFact West Virgin,0
"No, Minneapolis didn’t set up a “Sharia hotline” to report people who criticize Islam | PolitiFact Facebook fact-checks",0
"No, a New Hampshire congressman wasn’t arrested for defacing the president’s limo with swastikas | PolitiFact Facebook fact-checks",0
"RFK, not JFK, wondered whether God is black | PolitiFact Facebook fact-checks",0
Cory Booker’s claim about regulations on toy guns and not firearms misses the poin,0
"Wisconsin senator makes point, but goes overboard with birth cost recovery claim | PolitiFact Wisconsin",0
"Yes, Missouri is in the minority of states without a ban on powdered alcohol | PolitiFact Missour",0
Joe Biden did not say quote about Americans not caring about constitutional rights | PolitiFact Facebook fact-checks,0
"Elizabeth Warren claimed during the Democratic debate in Detroit on July 30th, 2019 that of the 14 wealthy OECD countries with a wealth tax in 1996, 10 have since abandoned it. This claim was made in response to criticism of her proposed ultramillionaire tax. While the numbers in the claim are slightly off, it is mostly true that European countries have moved away from wealth taxes, although not to the extent stated in the op-ed.",1
Trump wrongly says Democrats oppose hurricane disaster aid for Florida | PolitiFact Florid,0
NC Republican claims credit for 'born alive' veto override | PolitiFact North Carolin,0
Was Joe Biden a climate change pioneer in Congress? History says yes,0
-checking prison capacity in Missouri | PolitiFact Missour,0
"No, an American Indian group did not jokingly give Donald Trump a disparaging Indian name | PolitiFact Facebook fact-checks",0
"Smith’s statement on MoDOT’s debt adds up, but needs context | PolitiFact Missour",0
Beto O'Rourke says 60 million Americans have unsafe drinking water. That's exaggerated | PolitiFact Texas,0
"Yes, small businesses account for 99% of all Wisconsin companies | PolitiFact Wisconsin",0
"-checking Joe Biden, Hunter Biden, and Ukraine",0
"No, this photo does not show a young girl being sold to Muslims as a child bride | PolitiFact Facebook fact-checks",0
"No, Valerie Jarrett never said she seeks to ‘change America to be a more Islamic country’ | PolitiFact Facebook fact-checks",0
"No, these photos of Neil Armstrong’s space boots and a footprint don’t disprove the moon landing | PolitiFact Facebook fact-checks",0
"No, NYC isn’t banning the sale of hot dogs to stop climate change | PolitiFact Facebook fact-checks",0
Bernie Sanders says 1 out of 5 can't afford prescription drugs,0
Joe Biden claims he was a staunch liberal in the Senate. He wasn’,0
"Righter’s wrong about Illinois wage hike costing 50,000 jobs | PolitiFact Illinois",0
"No, a Roman statesman did not warn about Trump thousands of years ago | PolitiFact Facebook fact-checks",0
Claims Filipino journalists are trying to oust President Rodrigo Duterte lack evidence,0
